payment_id,claim_id,payment_date,payment_type,payment_value,claim_date
854547,8271,2023-01-27 00:00:00+00:00,PÉRDIDA PARCIAL,58000000.0,2023-01-14 00:00:00+00:00
726264,8082,2023-01-14 00:00:00+00:00,PÉRDIDA TOTAL,64000000.0,2023-01-14 00:00:00+00:00
819738,8082,2023-01-10 00:00:00+00:00,RESPONSABILIDAD CIVIL,88000000.0,2023-01-14 00:00:00+00:00
296696,1185,2023-01-22 00:00:00+00:00,GRÚA,35000000.0,2023-01-14 00:00:00+00:00
908108,1185,2023-01-09 00:00:00+00:00,PÉRDIDA TOTAL,51000000.0,2023-01-14 00:00:00+00:00
20190,2346,2023-01-16 00:00:00+00:00,PÉRDIDA TOTAL,5000000.0,2023-01-14 00:00:00+00:00
607644,2346,2023-01-29 00:00:00+00:00,PÉRDIDA TOTAL,30000000.0,2023-01-14 00:00:00+00:00
26067,2346,2023-01-01 00:00:00+00:00,PÉRDIDA TOTAL,11000000.0,2023-01-14 00:00:00+00:00
892305,2346,2023-01-30 00:00:00+00:00,CONDUCTOR ELEGIDO,99000000.0,2023-01-14 00:00:00+00:00
880913,9806,2023-01-25 00:00:00+00:00,PÉRDIDA PARCIAL,6000000.0,2023-01-14 00:00:00+00:00
558170,4826,2023-01-26 00:00:00+00:00,PÉRDIDA TOTAL,32000000.0,2023-01-14 00:00:00+00:00
563014,4826,2023-01-25 00:00:00+00:00,RESPONSABILIDAD CIVIL,22000000.0,2023-01-14 00:00:00+00:00
109648,3236,2023-01-06 00:00:00+00:00,PÉRDIDA PARCIAL,68000000.0,2023-01-14 00:00:00+00:00
269353,3236,2023-01-07 00:00:00+00:00,PÉRDIDA TOTAL,26000000.0,2023-01-14 00:00:00+00:00
440813,9406,2023-01-13 00:00:00+00:00,RESPONSABILIDAD CIVIL,13000000.0,2023-01-14 00:00:00+00:00
264025,9406,2023-01-30 00:00:00+00:00,PÉRDIDA TOTAL,42000000.0,2023-01-14 00:00:00+00:00
308099,9406,2023-01-15 00:00:00+00:00,CONDUCTOR ELEGIDO,28000000.0,2023-01-14 00:00:00+00:00
