payment_id,claim_id,payment_date,payment_type,payment_value,claim_date
247272,2926,2023-01-26 00:00:00+00:00,GRÚA,56000000.0,2023-01-28 00:00:00+00:00
754313,2926,2023-01-02 00:00:00+00:00,GRÚA,73000000.0,2023-01-28 00:00:00+00:00
152377,7149,2023-01-28 00:00:00+00:00,RESPONSABILIDAD CIVIL,23000000.0,2023-01-28 00:00:00+00:00
918481,7149,2023-01-21 00:00:00+00:00,CONDUCTOR ELEGIDO,14000000.0,2023-01-28 00:00:00+00:00
992231,2963,2023-01-22 00:00:00+00:00,CONDUCTOR ELEGIDO,15000000.0,2023-01-28 00:00:00+00:00
956626,2963,2023-01-06 00:00:00+00:00,PÉRDIDA TOTAL,10000000.0,2023-01-28 00:00:00+00:00
453729,2963,2023-01-10 00:00:00+00:00,CONDUCTOR ELEGIDO,72000000.0,2023-01-28 00:00:00+00:00
897392,2963,2023-01-17 00:00:00+00:00,PÉRDIDA PARCIAL,58000000.0,2023-01-28 00:00:00+00:00
297045,2963,2023-01-01 00:00:00+00:00,RESPONSABILIDAD CIVIL,74000000.0,2023-01-28 00:00:00+00:00
833530,2963,2023-01-29 00:00:00+00:00,GRÚA,60000000.0,2023-01-28 00:00:00+00:00
648930,5765,2023-01-19 00:00:00+00:00,PÉRDIDA PARCIAL,59000000.0,2023-01-28 00:00:00+00:00
900465,5765,2023-01-09 00:00:00+00:00,PÉRDIDA TOTAL,34000000.0,2023-01-28 00:00:00+00:00
180640,6178,2023-01-15 00:00:00+00:00,RESPONSABILIDAD CIVIL,67000000.0,2023-01-28 00:00:00+00:00
632422,6178,2023-01-06 00:00:00+00:00,GRÚA,53000000.0,2023-01-28 00:00:00+00:00
272543,6178,2023-01-16 00:00:00+00:00,PÉRDIDA TOTAL,49000000.0,2023-01-28 00:00:00+00:00
73519,4260,2023-01-15 00:00:00+00:00,RESPONSABILIDAD CIVIL,61000000.0,2023-01-28 00:00:00+00:00
898656,4260,2023-01-25 00:00:00+00:00,RESPONSABILIDAD CIVIL,29000000.0,2023-01-28 00:00:00+00:00
897406,4260,2023-01-09 00:00:00+00:00,CONDUCTOR ELEGIDO,17000000.0,2023-01-28 00:00:00+00:00
36190,4260,2023-01-07 00:00:00+00:00,GRÚA,96000000.0,2023-01-28 00:00:00+00:00
413557,4260,2023-01-17 00:00:00+00:00,RESPONSABILIDAD CIVIL,13000000.0,2023-01-28 00:00:00+00:00
