payment_id,claim_id,payment_date,payment_type,payment_value,claim_date
740975,7438,2023-01-28 00:00:00+00:00,PÉRDIDA TOTAL,60000000.0,2023-01-10 00:00:00+00:00
2152,7438,2023-01-19 00:00:00+00:00,CONDUCTOR ELEGIDO,9000000.0,2023-01-10 00:00:00+00:00
740507,7438,2023-01-14 00:00:00+00:00,PÉRDIDA PARCIAL,91000000.0,2023-01-10 00:00:00+00:00
914494,7438,2023-01-17 00:00:00+00:00,CONDUCTOR ELEGIDO,38000000.0,2023-01-10 00:00:00+00:00
536498,9158,2023-01-04 00:00:00+00:00,PÉRDIDA PARCIAL,67000000.0,2023-01-10 00:00:00+00:00
371939,9158,2023-01-09 00:00:00+00:00,PÉRDIDA PARCIAL,6000000.0,2023-01-10 00:00:00+00:00
786060,9158,2023-01-01 00:00:00+00:00,RESPONSABILIDAD CIVIL,71000000.0,2023-01-10 00:00:00+00:00
551588,9158,2023-01-19 00:00:00+00:00,PÉRDIDA TOTAL,98000000.0,2023-01-10 00:00:00+00:00
609473,9158,2023-01-23 00:00:00+00:00,CONDUCTOR ELEGIDO,92000000.0,2023-01-10 00:00:00+00:00
263136,9158,2023-01-03 00:00:00+00:00,PÉRDIDA TOTAL,64000000.0,2023-01-10 00:00:00+00:00
498658,9956,2023-01-17 00:00:00+00:00,GRÚA,35000000.0,2023-01-10 00:00:00+00:00
519095,9956,2023-01-01 00:00:00+00:00,PÉRDIDA TOTAL,21000000.0,2023-01-10 00:00:00+00:00
413822,9956,2023-01-18 00:00:00+00:00,RESPONSABILIDAD CIVIL,9000000.0,2023-01-10 00:00:00+00:00
961908,6239,2023-01-12 00:00:00+00:00,CONDUCTOR ELEGIDO,85000000.0,2023-01-10 00:00:00+00:00
453947,6239,2023-01-01 00:00:00+00:00,GRÚA,61000000.0,2023-01-10 00:00:00+00:00
79165,6239,2023-01-04 00:00:00+00:00,PÉRDIDA TOTAL,3000000.0,2023-01-10 00:00:00+00:00
385954,3825,2023-01-11 00:00:00+00:00,PÉRDIDA TOTAL,43000000.0,2023-01-10 00:00:00+00:00
572894,3825,2023-01-25 00:00:00+00:00,GRÚA,30000000.0,2023-01-10 00:00:00+00:00
