payment_id,claim_id,payment_date,payment_type,payment_value,claim_date
309382,6000,2023-01-12 00:00:00+00:00,PÉRDIDA TOTAL,6000000.0,2023-01-19 00:00:00+00:00
591397,6000,2023-01-13 00:00:00+00:00,PÉRDIDA PARCIAL,16000000.0,2023-01-19 00:00:00+00:00
763,5477,2023-01-07 00:00:00+00:00,PÉRDIDA PARCIAL,94000000.0,2023-01-19 00:00:00+00:00
496775,7701,2023-01-03 00:00:00+00:00,RESPONSABILIDAD CIVIL,90000000.0,2023-01-19 00:00:00+00:00
288775,7701,2023-01-11 00:00:00+00:00,GRÚA,8000000.0,2023-01-19 00:00:00+00:00
819645,7701,2023-01-05 00:00:00+00:00,CONDUCTOR ELEGIDO,85000000.0,2023-01-19 00:00:00+00:00
960139,7280,2023-01-28 00:00:00+00:00,PÉRDIDA PARCIAL,48000000.0,2023-01-19 00:00:00+00:00
140925,7280,2023-01-17 00:00:00+00:00,PÉRDIDA PARCIAL,38000000.0,2023-01-19 00:00:00+00:00
43956,7280,2023-01-06 00:00:00+00:00,GRÚA,88000000.0,2023-01-19 00:00:00+00:00
12906,7280,2023-01-13 00:00:00+00:00,CONDUCTOR ELEGIDO,35000000.0,2023-01-19 00:00:00+00:00
394360,6315,2023-01-22 00:00:00+00:00,PÉRDIDA TOTAL,12000000.0,2023-01-19 00:00:00+00:00
272203,6315,2023-01-13 00:00:00+00:00,GRÚA,94000000.0,2023-01-19 00:00:00+00:00
77601,6315,2023-01-16 00:00:00+00:00,PÉRDIDA PARCIAL,27000000.0,2023-01-19 00:00:00+00:00
525295,6315,2023-01-30 00:00:00+00:00,GRÚA,82000000.0,2023-01-19 00:00:00+00:00
610617,6315,2023-01-20 00:00:00+00:00,CONDUCTOR ELEGIDO,28000000.0,2023-01-19 00:00:00+00:00
39607,8813,2023-01-24 00:00:00+00:00,GRÚA,31000000.0,2023-01-19 00:00:00+00:00
807102,8813,2023-01-14 00:00:00+00:00,RESPONSABILIDAD CIVIL,41000000.0,2023-01-19 00:00:00+00:00
705621,8813,2023-01-29 00:00:00+00:00,PÉRDIDA TOTAL,93000000.0,2023-01-19 00:00:00+00:00
821445,8813,2023-01-12 00:00:00+00:00,PÉRDIDA TOTAL,43000000.0,2023-01-19 00:00:00+00:00
614593,8572,2023-01-13 00:00:00+00:00,PÉRDIDA TOTAL,4000000.0,2023-01-19 00:00:00+00:00
414699,8572,2023-01-16 00:00:00+00:00,PÉRDIDA PARCIAL,12000000.0,2023-01-19 00:00:00+00:00
702418,8572,2023-01-12 00:00:00+00:00,CONDUCTOR ELEGIDO,85000000.0,2023-01-19 00:00:00+00:00
15318,3168,2023-01-14 00:00:00+00:00,PÉRDIDA PARCIAL,97000000.0,2023-01-19 00:00:00+00:00
730291,3168,2023-01-08 00:00:00+00:00,PÉRDIDA TOTAL,51000000.0,2023-01-19 00:00:00+00:00
183288,7234,2023-01-26 00:00:00+00:00,PÉRDIDA PARCIAL,34000000.0,2023-01-19 00:00:00+00:00
465774,7234,2023-01-12 00:00:00+00:00,PÉRDIDA TOTAL,3000000.0,2023-01-19 00:00:00+00:00
290398,5737,2023-01-15 00:00:00+00:00,PÉRDIDA PARCIAL,27000000.0,2023-01-19 00:00:00+00:00
435257,623,2023-01-04 00:00:00+00:00,RESPONSABILIDAD CIVIL,2000000.0,2023-01-19 00:00:00+00:00
232393,623,2023-01-11 00:00:00+00:00,GRÚA,50000000.0,2023-01-19 00:00:00+00:00
56480,3597,2023-01-23 00:00:00+00:00,RESPONSABILIDAD CIVIL,99000000.0,2023-01-19 00:00:00+00:00
599311,4249,2023-01-11 00:00:00+00:00,RESPONSABILIDAD CIVIL,72000000.0,2023-01-19 00:00:00+00:00
