payment_id,claim_id,payment_date,payment_type,payment_value,claim_date
103235,9680,2023-01-13 00:00:00+00:00,PÉRDIDA TOTAL,10000000.0,2023-01-04 00:00:00+00:00
952075,9680,2023-01-24 00:00:00+00:00,PÉRDIDA PARCIAL,73000000.0,2023-01-04 00:00:00+00:00
612460,9680,2023-01-13 00:00:00+00:00,PÉRDIDA PARCIAL,12000000.0,2023-01-04 00:00:00+00:00
495937,9680,2023-01-31 00:00:00+00:00,PÉRDIDA TOTAL,79000000.0,2023-01-04 00:00:00+00:00
512701,4647,2023-01-16 00:00:00+00:00,PÉRDIDA TOTAL,24000000.0,2023-01-04 00:00:00+00:00
241715,4647,2023-01-06 00:00:00+00:00,PÉRDIDA TOTAL,24000000.0,2023-01-04 00:00:00+00:00
736137,4809,2023-01-05 00:00:00+00:00,CONDUCTOR ELEGIDO,5000000.0,2023-01-04 00:00:00+00:00
703898,4809,2023-01-27 00:00:00+00:00,CONDUCTOR ELEGIDO,3000000.0,2023-01-04 00:00:00+00:00
323919,4809,2023-01-24 00:00:00+00:00,RESPONSABILIDAD CIVIL,10000000.0,2023-01-04 00:00:00+00:00
31987,4809,2023-01-15 00:00:00+00:00,GRÚA,47000000.0,2023-01-04 00:00:00+00:00
443132,4809,2023-01-15 00:00:00+00:00,PÉRDIDA PARCIAL,63000000.0,2023-01-04 00:00:00+00:00
835800,6158,2023-01-15 00:00:00+00:00,CONDUCTOR ELEGIDO,37000000.0,2023-01-04 00:00:00+00:00
802771,6158,2023-01-30 00:00:00+00:00,PÉRDIDA TOTAL,11000000.0,2023-01-04 00:00:00+00:00
419324,6158,2023-01-20 00:00:00+00:00,GRÚA,63000000.0,2023-01-04 00:00:00+00:00
383153,932,2023-01-09 00:00:00+00:00,RESPONSABILIDAD CIVIL,46000000.0,2023-01-04 00:00:00+00:00
737640,932,2023-01-02 00:00:00+00:00,RESPONSABILIDAD CIVIL,70000000.0,2023-01-04 00:00:00+00:00
533214,932,2023-01-02 00:00:00+00:00,CONDUCTOR ELEGIDO,13000000.0,2023-01-04 00:00:00+00:00
410199,9890,2023-01-11 00:00:00+00:00,GRÚA,68000000.0,2023-01-04 00:00:00+00:00
771000,9890,2023-01-31 00:00:00+00:00,PÉRDIDA PARCIAL,46000000.0,2023-01-04 00:00:00+00:00
418494,9890,2023-01-10 00:00:00+00:00,CONDUCTOR ELEGIDO,56000000.0,2023-01-04 00:00:00+00:00
702817,368,2023-01-12 00:00:00+00:00,PÉRDIDA PARCIAL,15000000.0,2023-01-04 00:00:00+00:00
962116,368,2023-01-02 00:00:00+00:00,GRÚA,74000000.0,2023-01-04 00:00:00+00:00
