payment_id,claim_id,payment_date,payment_type,payment_value,claim_date
610761,2371,2023-01-12 00:00:00+00:00,PÉRDIDA PARCIAL,45000000.0,2023-01-20 00:00:00+00:00
551261,2371,2023-01-08 00:00:00+00:00,GRÚA,79000000.0,2023-01-20 00:00:00+00:00
432966,5240,2023-01-27 00:00:00+00:00,CONDUCTOR ELEGIDO,82000000.0,2023-01-20 00:00:00+00:00
290097,5240,2023-01-09 00:00:00+00:00,GRÚA,59000000.0,2023-01-20 00:00:00+00:00
489668,5240,2023-01-06 00:00:00+00:00,GRÚA,34000000.0,2023-01-20 00:00:00+00:00
137110,5240,2023-01-15 00:00:00+00:00,RESPONSABILIDAD CIVIL,33000000.0,2023-01-20 00:00:00+00:00
884029,3425,2023-01-31 00:00:00+00:00,PÉRDIDA TOTAL,40000000.0,2023-01-20 00:00:00+00:00
783657,3425,2023-01-08 00:00:00+00:00,CONDUCTOR ELEGIDO,35000000.0,2023-01-20 00:00:00+00:00
500210,3425,2023-01-08 00:00:00+00:00,GRÚA,76000000.0,2023-01-20 00:00:00+00:00
121968,297,2023-01-31 00:00:00+00:00,RESPONSABILIDAD CIVIL,7000000.0,2023-01-20 00:00:00+00:00
724662,297,2023-01-21 00:00:00+00:00,CONDUCTOR ELEGIDO,49000000.0,2023-01-20 00:00:00+00:00
341936,297,2023-01-11 00:00:00+00:00,PÉRDIDA TOTAL,92000000.0,2023-01-20 00:00:00+00:00
454063,9271,2023-01-02 00:00:00+00:00,PÉRDIDA PARCIAL,80000000.0,2023-01-20 00:00:00+00:00
176710,9271,2023-01-09 00:00:00+00:00,CONDUCTOR ELEGIDO,67000000.0,2023-01-20 00:00:00+00:00
198836,5894,2023-01-18 00:00:00+00:00,PÉRDIDA TOTAL,26000000.0,2023-01-20 00:00:00+00:00
424596,5894,2023-01-05 00:00:00+00:00,GRÚA,60000000.0,2023-01-20 00:00:00+00:00
640535,1369,2023-01-06 00:00:00+00:00,PÉRDIDA PARCIAL,56000000.0,2023-01-20 00:00:00+00:00
562397,7177,2023-01-19 00:00:00+00:00,CONDUCTOR ELEGIDO,33000000.0,2023-01-20 00:00:00+00:00
139103,7177,2023-01-24 00:00:00+00:00,CONDUCTOR ELEGIDO,62000000.0,2023-01-20 00:00:00+00:00
831421,193,2023-01-14 00:00:00+00:00,PÉRDIDA PARCIAL,85000000.0,2023-01-20 00:00:00+00:00
942114,193,2023-01-14 00:00:00+00:00,PÉRDIDA TOTAL,34000000.0,2023-01-20 00:00:00+00:00
815998,9775,2023-01-30 00:00:00+00:00,GRÚA,27000000.0,2023-01-20 00:00:00+00:00
105205,6423,2023-01-31 00:00:00+00:00,CONDUCTOR ELEGIDO,49000000.0,2023-01-20 00:00:00+00:00
252821,6423,2023-01-27 00:00:00+00:00,CONDUCTOR ELEGIDO,55000000.0,2023-01-20 00:00:00+00:00
78583,8119,2023-01-29 00:00:00+00:00,PÉRDIDA PARCIAL,18000000.0,2023-01-20 00:00:00+00:00
981105,8119,2023-01-28 00:00:00+00:00,PÉRDIDA PARCIAL,5000000.0,2023-01-20 00:00:00+00:00
266090,9420,2023-01-19 00:00:00+00:00,PÉRDIDA PARCIAL,94000000.0,2023-01-20 00:00:00+00:00
652452,7949,2023-01-17 00:00:00+00:00,RESPONSABILIDAD CIVIL,12000000.0,2023-01-20 00:00:00+00:00
646460,7949,2023-01-09 00:00:00+00:00,PÉRDIDA TOTAL,2000000.0,2023-01-20 00:00:00+00:00
184295,2717,2023-01-04 00:00:00+00:00,CONDUCTOR ELEGIDO,99000000.0,2023-01-20 00:00:00+00:00
394333,6405,2023-01-19 00:00:00+00:00,GRÚA,90000000.0,2023-01-20 00:00:00+00:00
93740,6405,2023-01-22 00:00:00+00:00,CONDUCTOR ELEGIDO,58000000.0,2023-01-20 00:00:00+00:00
155472,3355,2023-01-14 00:00:00+00:00,GRÚA,75000000.0,2023-01-20 00:00:00+00:00
889182,6528,2023-01-22 00:00:00+00:00,RESPONSABILIDAD CIVIL,59000000.0,2023-01-20 00:00:00+00:00
59353,6528,2023-01-06 00:00:00+00:00,PÉRDIDA TOTAL,34000000.0,2023-01-20 00:00:00+00:00
91153,6482,2023-01-14 00:00:00+00:00,CONDUCTOR ELEGIDO,58000000.0,2023-01-20 00:00:00+00:00
380405,6482,2023-01-09 00:00:00+00:00,PÉRDIDA TOTAL,43000000.0,2023-01-20 00:00:00+00:00
114685,6482,2023-01-09 00:00:00+00:00,PÉRDIDA PARCIAL,58000000.0,2023-01-20 00:00:00+00:00
357321,9116,2023-01-28 00:00:00+00:00,PÉRDIDA TOTAL,93000000.0,2023-01-20 00:00:00+00:00
329334,9116,2023-01-12 00:00:00+00:00,CONDUCTOR ELEGIDO,32000000.0,2023-01-20 00:00:00+00:00
568281,9116,2023-01-08 00:00:00+00:00,CONDUCTOR ELEGIDO,74000000.0,2023-01-20 00:00:00+00:00
891728,8011,2023-01-25 00:00:00+00:00,PÉRDIDA PARCIAL,69000000.0,2023-01-20 00:00:00+00:00
